file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,65,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,5
style.css,66,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,6
style.css,67,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,20
style.css,68,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,17
style.css,69,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,13
style.css,70,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,13
style.css,71,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,19
style.css,72,css,3071a714,karizabal,2025-04-11,20:15:35,-07:00,2025-04-11T20:15:35-07:00,1,0
style.css,73,css,3071a714,karizabal,2025-04-11,20:15:35,-07:00,2025-04-11T20:15:35-07:00,1,7
style.css,74,css,3071a714,karizabal,2025-04-11,20:15:35,-07:00,2025-04-11T20:15:35-07:00,2,25
style.css,75,css,3071a714,karizabal,2025-04-11,20:15:35,-07:00,2025-04-11T20:15:35-07:00,2,25
style.css,76,css,3071a714,karizabal,2025-04-11,20:15:35,-07:00,2025-04-11T20:15:35-07:00,2,39
style.css,77,css,3071a714,karizabal,2025-04-11,20:15:35,-07:00,2025-04-11T20:15:35-07:00,2,19
style.css,78,css,fd59032f,karizabal,2025-04-18,18:19:51,-07:00,2025-04-18T18:19:51-07:00,2,69
style.css,79,css,3071a714,karizabal,2025-04-11,20:15:35,-07:00,2025-04-11T20:15:35-07:00,1,0
style.css,80,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,81,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,82,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,8
style.css,83,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,25
style.css,84,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,25
style.css,85,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,37
style.css,86,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,19
style.css,87,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,16
style.css,88,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,89,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
